user_review_no,rating,time_ago,comment_likes,user_text,Service,Vegetarian offerings,Wheelchair accessibility,Kid-friendliness,Price per person,Atmosphere,Vegetarian options,,Meal type,Parking space,Dietary restrictions,Parking options,Parking,Recommendation for vegetarians,Recommended dishes,Food
 24 reviews ,5 stars,a week ago,,"Capsicum - A Must-Visit in Varanasi!

Rating: 5/5

Review:

Tucked away in the heart of Varanasi, Capsicum is a hidden gem that will delight your taste buds and leave you craving for more! This casual dining outlet is a treasure trove of flavors, offering an extensive menu that spans across the globe, from Indian to Chinese, Italian, Mexican, and American cuisines.

Ambiance:
The moment you step into Capsicum, you'll be enveloped in a warm and welcoming atmosphere that instantly puts you at ease. The comfortable seating and soothing decor create the perfect setting for a leisurely meal with friends and family.

Food:
The menu is a masterclass in diversity, with dishes carefully crafted to cater to various tastes and dietary preferences. Standout dishes like the Maharaja Platter, Platters, Paneer Roll, Veg Roll, White Sauce Pasta, and Crispy Baby Corn are a testament to the chef's creativity and expertise. The portions are generous, and the prices are incredibly reasonable, making it an excellent value for money.

Service:
The staff at Capsicum are friendly, attentive, and knowledgeable, ensuring that your dining experience is seamless and enjoyable. They take the time to explain the menu, offer recommendations, and cater to special requests with a smile.

Additional Highlights:

- Vegetarian and vegan options available
- Catering services for special occasions
- Digital payments accepted
- Average cost: ₹400 for two people (approx.)

In conclusion, Capsicum is a culinary haven that offers something for everyone. Whether you're in the mood for a quick bite or a leisurely meal, this F&B outlet is a must-visit in Varanasi. Don't miss out on the opportunity to savor the flavors of the world in one delicious destination!

Location: Krishna Kunj Building, BHU Main Rd, beside State Bank Of India, opp. Ambrosia Apartment, Saket Nagar Colony, Lanka, Varanasi, Uttar Pradesh 221005.",5,Menu is all vegetarian,,,₹200–400,5,,,Dinner,,,,,Highly recommend,"White Sauce Pasta, Veg Pasta, Paratha, Hakka Noodles, Fried, Mushroom Rolls, Spring Roll Dosa",5
 7 reviews ,1 star,a month ago,,"This place is just overhyped. Nothing tastes.
We ordered Afghani momo bc it looked like it was served straight out of the freezer. Menchurian is also no taste not baked properly. Also, when you order rice, it looks like you have vegetable pulao there along with whole turmeric.
709₹ What splash in water 💦
My time was wasted after waiting for 1 hour 💦",1,,,,₹600–800,1,,,Dinner,,,,,,,1
 20 photos,5 stars,4 months ago,2,"I eat here plenty of times during my stay in Varanasi and I didn’t ever get disappointed! Very good taste and good service. There are plenty of tables to accommodate everyone and, even though the restaurant is usually crowded, the service is fast.",5,Large vegetarian selection,,,₹1–200,5,,,Dinner,,,,,Highly recommend,,5
 83 reviews ,5 stars,a month ago,2,"I'd give this pizza joint a 4 out of 5 stars. The pizza tasted great with fresh ingredients and a nice crust, but it arrived slightly cold, and the delivery took longer than expected. Nonetheless, the flavors were fantastic, and the variety of toppings was impressive. A solid option for pizza lovers, just be prepared for a potentially longer wait.",4,,,,₹200–400,4,,,,,,,,,,5
 1 photo,1 star,a month ago,,Today I took chilli paneer and lacha paratha which made a dam of 3rd quality. Gave it a test of chilli paneer and lacha paratha which made a dam which was very heavy.,,,,,,,,,,,,,,,,1
 83 reviews ,4 stars,a week ago,,Overall the experience is very good nd food are also delicious nd tasty...,4,,,,₹400–600,5,,,Other,Difficult to find parking,,Parking is unavailable,,,Masala Dosa,5
 8 reviews ,5 stars,3 weeks ago,,"This is one of my favourite restaurant in varanasi..
Their food quality and quantity both are superb❤️
If it's your first visit you can try
paneer burger
White sauce pasta
And try any thali
All over good 😊❤️",5,Menu is all vegetarian,,,,5,,,,,,,,Highly recommend,"White Sauce, Masala Dosa, Paneer Butter Masala, White Sauce Pasta, Veg Pasta, Paratha, Hakka Noodles, Fried, Chhole Bhature, Veg Roll",5
 275 reviews ,4 stars,7 months ago,,Better for Bdy celebration. I have tried here Cheese Dosa and Mysore rawa Dosa. Both of the taste was too good. Staff behaviour was also good. And tried Kheer also. If you are going two persons for dinner then expense will be 400  at least. Not very cheap  price. Sone items is very costly. After ordering u would have to wait 20-30 miniutes. Environment is too good.,5,"Menu is all vegetarian, Large vegetarian selection",,,₹200–400,4,,,Lunch,,,,,,,5
 24 reviews ,3 stars,2 months ago,,"Food is less than average except for 1 or 2 dishes. We reached for dinner, and it took us around 10 minutes to find a proper seat. Waiting time is at least 45 minutes. So, if you have time, then come here. Food is not served at the table, so you must take it from the counter when your token comes. You have to ask the waiter for basic things like water, pickles, and salads, which is the worst thing.",2,,,,₹200–400,3,,,Dinner,,,,,,,3
 1 photo,1 star,a month ago,,"Worst restaurant one can ever go to, there is no sense of taste for any of the dishes here. OVERHYPED. WORST. Very BAD. Do not visit ever.",Dine in,,,,"₹800–1,000",,,,Dinner,,,,,,,
 13 reviews ,1 star,2 weeks ago,3,"*How many good reviews are there are all FAKE!!
*Poor Service hai brother and no one is listening, where is the new log and where is he going, we have to guess because first of all this payment is not available anywhere.",1,,,,₹200–400,2,,,Lunch,,,,,,,2
 47 photos,3 stars,6 months ago,1,"I’ve eaten twice here and both times the food was horrible. The wide selection of items and the food court system of order are both great, but the taste is so bad. Either very spicy, too much salt, undercooked or no taste. But the price and amount of food you get is good. The cashier is absolutely no help if you have questions, but the cleaning/serving staff are great.",4,Menu is all vegetarian,,,₹1–200,3,,,Lunch,,,,,,,2
 18 photos,1 star,a month ago,,i ordered Hot Chocolate but this tastes like bournvita was mixed in milk same as we offer milk to our children...it was decorated better but there was nothing like hot chocolate,2,,,,₹1–200,3,,,Other,,,,,,,1
 116 reviews ,3 stars,2 months ago,,"According to price food was not so tasty .
Fried rice taste was like normal rice .
All the food I ordered was normal and average 😞",4,,,,₹600–800,4,,,Lunch,,,,,,White Sauce Pasta,3
 31 reviews ,4 stars,a year ago,,Food is delicious and well served. I liked their packaging and how helpful and liberal they are with takeaway. They offer quantity and quality to maximum. Since every food item served in a large quantity it sometimes gets difficult to finish it all. For that too they offer to wrap the leftover food for you to take it your home without charging any extra cost. Ambience is little crowded and needs to be little clean and hygienic,4,,,,₹200–400,3,Capsicum offers both veg and non veg options both cooked separately in two kitchens located in two separate floors.,,Lunch,,,,,,"Jugalbandi Pizza, Masala Dosa, White Sauce Pasta, Veg Pasta, Paneer Paratha Choley, Cheesy Tacos, Hakka Noodles, Chilli Garlic Noodles, Chhole Bhature, Veg Noodles",4
 1 photo,3 stars,2 months ago,,"The great thing is that this place is reasonable. But if we talk about the food taste, it's not upto the mark. I have tried almost most of the dishes mentioned in menu. Taste will either be too spicy or too salty. If we talk about shakes...it's full of ice crumbs that's it.",,,,,,,,,,,,,,,,
 26 reviews ,4 stars,a week ago,,It's a good restaurant but it is a self service restaurant means you have to pick your order from the counter . The food quality is good. But I guess service cab become more better.,2,,No wheelchair accessibility,,₹400–600,5,,,Dinner,Difficult to find parking,,"Free street parking, Parking is unavailable",Parking maybe an issue as they don't have their own parking you have to park in the side of the road,,"Crispy Baby Corn, White Sauce Pasta, Hakka Noodles",5
,5 stars,a week ago,,"Almost everything is good on the menu except the shakes they are a little lacking for the price. Also, it is extremely clean. However, on days it is crowded they take as long as 40 mins to serve.",3,Menu is all vegetarian,,,₹400–600,5,,,Lunch,,,,,Highly recommend,"Crispy Baby Corn, Masala Dosa, White Sauce Pasta, Chhole Bhature",5
